id	title	description	price	condition	link	image_link	additional_image_link	availability_date	availability	brand	adult	tax
M9-jimanga-bumblebee-2023-07-10	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Bumblebee. This is the first combo between two of our 5th gen Ambilobe - great ybbb combo! We've included sire and dam dendrograms if available, but you can view our Jimanga or Bumblebee breeder pages for more information.	449	New	https://ipardalis.com/babies/jimanga/bumblebee/2023-07-10/M9/	https://ipardalis.com//img/babies/20230710/M9.jpg	https://ipardalis.com//img/ambilobe/jimangabumblebee.jpg	2023-07-10	in_stock	iPardalis	No	US:MD:6.00:n
M10-kiborin-maize-2023-07-05	6 Month-old Rainbow Ambilobe Panther Chameleon	6 Month-old Rainbow Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	499	New	https://ipardalis.com/babies/kiborin/maize/2023-07-05/M10/	https://ipardalis.com//img/babies/20230705/M10_1.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
M7-kiborin-maize-2023-07-05	6 Month-old Rainbow Ambilobe Panther Chameleon	6 Month-old Rainbow Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	499	New	https://ipardalis.com/babies/kiborin/maize/2023-07-05/M7/	https://ipardalis.com//img/babies/20230705/M7_2.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
F2-kiborin-maize-2023-07-05	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	299	New	https://ipardalis.com/babies/kiborin/maize/2023-07-05/F2/	https://ipardalis.com//img/babies/20230705/F2.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
F3-kiborin-maize-2023-07-05	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	299	New	https://ipardalis.com/babies/kiborin/maize/2023-07-05/F3/	https://ipardalis.com//img/babies/20230705/F3.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
F4-kiborin-maize-2023-07-05	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Kiborin and Maize. We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool We've included sire and dam dendrograms if available, but you can view our Kiborin or Maize breeder pages for more information.	249	New	https://ipardalis.com/babies/kiborin/maize/2023-07-05/F4/	https://ipardalis.com//img/babies/20230705/F4.jpg	https://ipardalis.com//img/ambilobe/kiborinmaize.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
M2-manjaka-jiolahy-2023-03-12	10 Month-old Rainbow Ambilobe Panther Chameleon	10 Month-old Rainbow Ambilobe Panther Chameleon from Manjaka and Jiolahy. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with a female from WC The Don. A great F1 x F1 combination unrelated to anything we have! We've included sire and dam dendrograms if available, but you can view our Manjaka or Jiolahy breeder pages for more information.	349	New	https://ipardalis.com/babies/manjaka/jiolahy/2023-03-12/M2/	https://ipardalis.com//img/babies/20230312/M2_1.jpg	https://ipardalis.com//img/ambilobe/manjakajiolahy.jpg	2023-03-12	in_stock	iPardalis	No	US:MD:6.00:n
F4-manjaka-lokana-2022-09-10	16 Month-old YBBB Ambilobe Panther Chameleon	16 Month-old YBBB Ambilobe Panther Chameleon from Manjaka and Lokana. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with a female from Chromatic Chameleons. A great combination unrelated to anything we have! We've included sire and dam dendrograms if available, but you can view our Manjaka or Lokana breeder pages for more information.	275	New	https://ipardalis.com/babies/manjaka/lokana/2022-09-10/F4/	https://ipardalis.com//img/babies/20220904/available/F4.jpg	https://ipardalis.com//img/ambilobe/manjakalokana.jpg	2022-09-10	in_stock	iPardalis	No	US:MD:6.00:n
F5-manjaka-lokana-2022-09-10	16 Month-old YBBB Ambilobe Panther Chameleon	16 Month-old YBBB Ambilobe Panther Chameleon from Manjaka and Lokana. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with a female from Chromatic Chameleons. A great combination unrelated to anything we have! We've included sire and dam dendrograms if available, but you can view our Manjaka or Lokana breeder pages for more information.	249	New	https://ipardalis.com/babies/manjaka/lokana/2022-09-10/F5/	https://ipardalis.com//img/babies/20220904/available/F5.jpg	https://ipardalis.com//img/ambilobe/manjakalokana.jpg	2022-09-10	in_stock	iPardalis	No	US:MD:6.00:n
M2-manjaka-noko-2023-02-13	11 Month-old YBBB Ambilobe Panther Chameleon	11 Month-old YBBB Ambilobe Panther Chameleon from Manjaka and Noko. Some fresh genetics from the Colorado Chameleon WC Arlo line combined with our beautiful female Noko. We've included sire and dam dendrograms if available, but you can view our Manjaka or Noko breeder pages for more information.	449	New	https://ipardalis.com/babies/manjaka/noko/2023-02-13/M2/	https://ipardalis.com//img/babies/20230213/M2_2.jpg	https://ipardalis.com//img/ambilobe/manjakanoko.jpg	2023-02-13	in_stock	iPardalis	No	US:MD:6.00:n
