sire,dam,laid,hatchstart,hatchend,hatchnum,clutchsize,maleprice,femaleprice,sire_tree,sire_doh,dam_tree,dam_doh,lineage_collage
ralph,robina,2022-11-09,2023-09-12,2023-10-02,7,22,399,299,/blog/2021/06/05/ralph/tree.png,2021/06/05,/blog/2022/03/07/robina/tree.png,2022/03/07,/img/ambilobe/ralphrobina.jpg
kosmo,mainty,2022-11-11,2023-09-27,2023-09-28,24,29,449,349,/blog/2021/05/01/kosmo/tree.png,2021/05/01,/blog/2021/09/05/mainty/tree.png,2021/09/05,/img/ambilobe/kosmomainty.jpg
zozoro,artalla,2022-11-24,NA,NA,0,10,399,349,/blog/2021/10/06/zozoro/tree.png,2021/10/06,/blog/2021/10/15/artalla/tree.png,2021/10/15,/img/ambilobe/zozoroartalla.jpg
tratra,parasy,2022-12-04,2023-10-06,2023-10-30,15,30,399,349,/blog/2022/06/29/tratra/tree.png,2022/06/29,/blog/2021/01/21/parasy/tree.png,2021/01/21,/img/ambilobe/tratraparasy.jpg
ralph,kosma,2022-12-06,2023-09-12,2023-10-01,27,27,399,299,/blog/2021/06/05/ralph/tree.png,2021/06/05,/blog/2021/05/02/kosma/tree.png,2021/05/02,/img/ambilobe/ralphkosma.jpg
zozoro,artilly,2022-12-07,NA,NA,0,25,399,349,/blog/2021/10/06/zozoro/tree.png,2021/10/06,/blog/2022/02/03/artilly/tree.png,2022/02/03,/img/ambilobe/zozoroartilly.jpg
manjaka,noko,2022-12-09,NA,NA,0,20,399,349,/blog/2020/12/01/manjaka/tree.png,2020/12/01,/blog/2021/06/03/noko/tree.png,2021/06/03,/img/ambilobe/manjakanoko.jpg
bibi,pepita,2022-12-17,2023-09-12,2023-09-21,28,29,449,349,/blog/2022/06/29/bibi/tree.png,2022/06/29,/blog/2021/12/07/pepita/tree.png,2021/12/07,/img/ambilobe/bibipepita.jpg
kosmo,mainty,2023-01-23,NA,NA,0,36,449,349,/blog/2021/05/01/kosmo/tree.png,2021/05/01,/blog/2021/09/05/mainty/tree.png,2021/09/05,/img/ambilobe/kosmomainty.jpg
bibi,manjaia,2023-02-04,NA,NA,0,21,449,325,/blog/2022/06/29/bibi/tree.png,2022/06/29,/blog/2020/12/01/manjaia/tree.png,2020/12/01,/img/ambilobe/bibimanjaia.jpg
